"File Path: C:\Users\Administrator\Desktop\Stefan_Data\Pilot_testing\Test Run 15 15-06-2022 11 34 45\DAQ- Time, … - (Timed).csv   
Test: MineralizedBone_Elastic_test
Test Run: Test Run 15
Date: 15/06/2022 11:31:55

"
"Time ","Axial Force ","RL_20000A-100SS_load_cel ","Axial Displacement ","Xtens_longitudinal_mm ","Axial Count "
"sec","N","N","mm","mm","cycles"
"20.619140625","3.03122639656067","2.55745077133179","-0.000114337908030393","2.19579665561298E-06","0"
"20.62890625","3.29821801185608","2.73193955421448","-0.000210810512157877","2.99655660285225E-05","0"
"20.638671875","3.51825857162476","2.5354220867157","-0.000987950897979317","2.29028511711249E-05","0"
"20.6484375","3.22796678543091","3.09615421295166","-0.000518093656864949","3.18835375878734E-05","0"
"20.658203125","3.30536079406738","2.83865880966187","0.000141135856779329","3.07227310258895E-05","0"
"20.66796875","3.34624242782593","3.65384387969971","0.000239394978507335","6.84873953105125E-05","0"
"20.677734375","3.41509294509888","3.10627675056458","8.39669027641321E-05","5.88736135398449E-05","0"
"20.6875","3.54401874542236","3.51929569244385","3.21575370776372E-05","6.06210690534681E-05","0"
"20.697265625","4.18496751785278","3.08853578567505","0.000439486314007809","6.17421491710957E-05","0"
"20.70703125","4.29236221313477","3.80010604858398","0.000839668985008757","6.06352088539097E-05","0"
"20.716796875","3.64024925231934","3.11995959281921","0.000103618724267562","8.71827623427635E-05","0"
"20.7265625","3.84026765823364","4.08356428146362","0.000573476086174196","8.82203750052213E-05","0"
"20.736328125","4.06841707229614","3.79982471466064","0.000905770548342844","8.96062388733299E-05","0"
"20.74609375","4.44025993347168","4.31930923461914","0.000707465801497165","9.54809635800302E-05","0"
"20.755859375","4.72249984741211","3.72392201423645","0.000589554815633164","0.000126304627201534","0"
"20.765625","4.98769617080688","4.59640455245972","0.00157035970005381","0.000134147583708","0"
"20.775390625","5.12450408935547","4.4483757019043","0.000870039968958736","0.000126292320601351","0"
"20.78515625","4.48872900009155","4.75444602966309","0.000964726041274844","0.000160650699854159","0"
"20.794921875","4.7536792755127","4.31466484069824","0.00176151831965399","0.000157097701958264","0"
"20.8046875","4.84103202819824","4.69118690490723","0.000809297944215359","0.000192656059994079","0"
"20.814453125","5.37780618667603","4.60558366775513","0.00105405251815682","0.000158566805907867","0"
"20.82421875","5.69989490509033","5.01287078857422","0.00182940652848629","0.000154657641360245","0"
"20.833984375","5.84085130691528","4.79361152648926","0.00208845335691876","0.000192111770047632","0"
"20.84375","5.38089656829834","5.26172590255737","0.00227603891289618","0.000195748469877799","0"
"20.853515625","5.82350730895996","5.27628707885742","0.00270123291556956","0.000226886655241287","0"
"20.86328125","5.56905937194824","5.67370557785034","0.00285487453766109","0.000229941733209671","0"
"20.873046875","5.66942453384399","5.16294431686401","0.00178831623998121","0.00025861191943477","0"
"20.8828125","6.27613067626953","5.66760683059692","0.00265656967712857","0.000263393502564213","0"
"20.892578125","6.35164213180542","5.67548894882202","0.00267800805886509","0.000264059110577364","0"
"20.90234375","6.2413158416748","5.76430988311768","0.00384639861295","0.000254164746138486","0"
"20.912109375","5.88702535629272","5.87111806869507","0.00267443510892917","0.000286001181848405","0"
"20.921875","6.06388235092163","5.96290254592896","0.00267622158389713","0.000285539613287256","0"
"20.931640625","6.43476819992065","6.03528594970703","0.00294420101454307","0.00032454968845741","0"
"20.94140625","7.08261108398438","6.28629493713379","0.00378208346774045","0.000325800840528245","0"
"20.951171875","6.66826677322388","6.15957403182983","0.00290489742837963","0.000312918274403273","0"
"20.9609375","6.66141748428345","5.8866982460022","0.0029799316507706","0.000354876220853839","0"
