"File Path: C:\Users\Administrator\Desktop\Stefan_Data\Pilot_testing\Test Run 7 27-06-2022 13 49 02\DAQ- Time, … - (Timed).csv   
Test: DemineralizedBone_failure_test
Test Run: Test Run 7
Date: 27/06/2022 13:42:07

"
"Time ","Axial Force ","RL_20000A-100SS_load_cel ","Axial Displacement ","Xtens_longitudinal_mm ","Axial Count "
"sec","N","N","mm","mm","cycles"
"75.6982421875","1.35651671886444","2.16300415992737","-0.000330508015622399","0.000327870253613582","0"
"75.7080078125","1.88112962245941","2.44401502609253","0.000464497759367077","0.000223010772515408","0"
"75.7177734375","2.06112742424011","2.20497918128967","0.000116124439841769","0.000228524214662684","0"
"75.7275390625","2.26584839820862","2.39726519584656","0.00100224315247033","0.000326842069853228","0"
"75.7373046875","1.81665873527527","2.26480793952942","0.000884332223449746","0.000324159856290862","0"
"75.7470703125","1.83305931091309","2.31247687339783","0.000623498863205896","0.000328466285282047","0"
"75.7568359375","1.51524555683136","2.27362847328186","4.64497738050795E-05","0.000356242054522227","0"
"75.7666015625","1.80588102340698","2.27823185920715","0.000450205504876067","0.000428616999670339","0"
"75.7763671875","1.78146529197693","2.29919195175171","0.00104333332728856","0.000430226322123417","0"
"75.7861328125","1.87101542949677","2.26975774765015","0.0013202454738348","0.000460311781580458","0"
"75.7958984375","2.04932641983032","2.35689067840576","0.00145066212553502","0.000516623231305857","0"
"75.8056640625","1.89990854263306","2.24655771255493","0.00112551367692504","0.000595778203660302","0"
"75.8154296875","1.73980021476746","2.37623858451843","0.0020688014501502","0.00065438450747024","0"
"75.8251953125","1.42392814159393","2.22749996185303","0.000979018295765854","0.000751867901271908","0"
"75.8349609375","1.88134956359863","2.41074252128601","0.00156321357280831","0.000758811836476525","0"
"75.8447265625","2.17280244827271","2.16570353507996","0.00150247149122151","0.000711977463652147","0"
"75.8544921875","2.20724844932556","2.41257762908936","0.000791432682945015","0.000788077727520431","0"
"75.8642578125","1.9318470954895","2.11206293106079","0.0022867579900776","0.00078164043770812","0"
"75.8740234375","1.84029924869537","2.50857424736023","0.00170613589034474","0.000885859151367185","0"
"75.8837890625","1.56797814369202","2.12735438346863","0.00201163265955984","0.00100982185813336","0"
"75.8935546875","1.63450956344604","2.53435182571411","0.00205450919565919","0.00107941036731063","0"
"75.9033203125","2.00894665718079","2.1212522983551","0.0019008676872545","0.00110948087694851","0"
"75.9130859375","2.13265657424927","2.5541832447052","0.00304246009363851","0.00111392137114308","0"
"75.9228515625","2.16336560249329","2.16375875473022","0.00206522827284061","0.00110536814190709","0"
"75.9326171875","1.53154480457306","2.56958484649658","0.00274589615401055","0.00124837458770344","0"
"75.9423828125","1.73546254634857","2.15076184272766","0.00213490307032771","0.00123560425890901","0"
"75.9521484375","1.75052559375763","2.55165362358093","0.00273339060186117","0.00126479562823079","0"
"75.9619140625","2.06507039070129","2.14095497131348","0.00279591904472909","0.00129069383092428","0"
"75.9716796875","2.03408527374268","2.57876396179199","0.00329078784488956","0.00137121980969823","0"
"75.9814453125","1.95954930782318","2.11381220817566","0.00298886425298406","0.0014373213161889","0"
"75.9912109375","2.01145768165588","2.59156680107117","0.00287452644442965","0.00149954860262369","0"
"76.0009765625","1.96832585334778","2.12011671066284","0.0034229908578709","0.00147919354276382","0"
"76.0107421875","1.79758989810944","2.61271214485168","0.00294598748951103","0.00145281853747292","0"
"76.0205078125","1.79587864875793","2.13838768005371","0.00357305953002651","0.00154076519720547","0"
