,Displacement [mm],Force [N]
0,0.0,0.0
1,0.1008,-9055.258256539524
2,0.2016,-18110.51651307905
3,0.3024,-27165.774728121338
4,0.4032,-36221.0330261581
5,0.504,-45276.29120989067
6,0.6048,-54331.549456242676
7,0.7056000000000001,-63386.80773716868
8,0.8064,-72442.0660523162
9,0.9072,-81497.3242965654
10,1.008,-90552.58241978133
